"attribute_subset","drift","mean","sd","max_value","max_attribute","min_value","min_attribute"
"day_period_class","0.07278746413595237","0.00103982091622789","0.0010843064237096144","0.0052085632310748175","day=1_period='(0.202128-0.414894]'_class=UP","2.207018318252027E-5","day=7_period='(0.202128-0.414894]'_class=DOWN"
"period_nswdemand_class","0.08316045023173693","0.001663209004634739","0.0012265239557095655","0.005694107261090267","period='(0.202128-0.414894]'_nswdemand='(-inf-0.276331]'_class=UP","0.0","period='(0.202128-0.414894]'_nswdemand='(0.559135-inf)'_class=UP"
"day_nswdemand_class","0.17016111233723238","0.002430873033389034","0.002514496754046318","0.011476495254910615","day=1_nswdemand='(0.276331-0.397129]'_class=UP","4.414036636504054E-5","day=3_nswdemand='(0.276331-0.397129]'_class=UP"
"day_nswprice_class","0.4305451335246083","0.006150644764637265","0.005683886418813006","0.024542043698962703","day=1_nswprice='(-inf-0.03223]'_class=DOWN","1.9863164864268373E-4","day=7_nswprice='(0.077804-inf)'_class=DOWN"
"period_nswprice_class","0.43729860957845956","0.00874597219156919","0.00839635599419436","0.044493489295961156","period='(-inf-0.202128]'_nswprice='(-inf-0.03223]'_class=DOWN","3.7519311410284806E-4","period='(0.606383-0.819149]'_nswprice='(0.03223-0.043518]'_class=DOWN"
"nswprice_nswdemand_class","0.4636945486647539","0.009273890973295083","0.009521136794153236","0.05649966894725226","nswprice='(-inf-0.03223]'_nswdemand='(-inf-0.276331]'_class=DOWN","0.001125579342308541","nswprice='(0.043518-0.056848]'_nswdemand='(-inf-0.276331]'_class=UP"
"period_transfer_class","0.7672919885235048","0.015345839770470087","0.013751476757418368","0.06819686603398808","period='(-inf-0.202128]'_transfer='(0.414693-0.415132]'_class=DOWN","0.0018538953873317146","period='(-inf-0.202128]'_transfer='(-inf-0.414693]'_class=UP"
"nswdemand_transfer_class","0.7672919885235048","0.015345839770470097","0.014770671101313082","0.07203707790774663","nswdemand='(-inf-0.276331]'_transfer='(0.414693-0.415132]'_class=DOWN","7.062458618406533E-4","nswdemand='(-inf-0.276331]'_transfer='(-inf-0.414693]'_class=UP"
"day_transfer_class","0.7672919885235049","0.010961314121764362","0.009015784800367063","0.03328183623924078","day=2_transfer='(0.414693-0.415132]'_class=DOWN","4.1933348046788795E-4","day=1_transfer='(-inf-0.414693]'_class=DOWN"
"nswprice_transfer_class","0.7673802692562346","0.015347605385124677","0.02231808359871895","0.09918340322224674","nswprice='(0.077804-inf)'_transfer='(0.414693-0.415132]'_class=UP","2.2070183182520433E-5","nswprice='(-inf-0.03223]'_transfer='(0.414693-0.415132]'_class=DOWN"
"day_vicprice_class","0.7690134628117412","0.010985906611596315","0.009817890795291856","0.03328183623924079","day=2_vicprice='(0.003466-0.003468]'_class=DOWN","3.531229309203266E-4","day=6_vicprice='(0.003067-0.003466]'_class=UP"
"period_vicprice_class","0.7690134628117412","0.01538026925623483","0.015133988119812172","0.06819686603398808","period='(-inf-0.202128]'_vicprice='(0.003466-0.003468]'_class=DOWN","5.076142131979696E-4","period='(-inf-0.202128]'_vicprice='(0.003067-0.003466]'_class=UP"
"period_vicdemand_class","0.7691017435444713","0.015382034870889426","0.014816988068472372","0.06819686603398808","period='(-inf-0.202128]'_vicdemand='(0.422877-0.423006]'_class=DOWN","2.2070183182520416E-4","period='(-inf-0.202128]'_vicdemand='(0.540782-inf)'_class=DOWN"
"day_vicdemand_class","0.7691017435444714","0.010987167764921032","0.009608276488441413","0.03328183623924079","day=2_vicdemand='(0.422877-0.423006]'_class=DOWN","4.414036636504083E-5","day=1_vicdemand='(0.540782-inf)'_class=DOWN"
"vicdemand_transfer_class","0.7691017435444715","0.01747958508055618","0.039788730791437535","0.21661884793643787","vicdemand='(0.422877-0.423006]'_transfer='(0.414693-0.415132]'_class=DOWN","0.0","vicdemand='(0.422877-0.423006]'_transfer='(0.415132-0.551974]'_class=UP"
"vicprice_vicdemand_class","0.7691458839108362","0.01922864709777089","0.0422937441526426","0.21661884793643787","vicprice='(0.003466-0.003468]'_vicdemand='(0.422877-0.423006]'_class=DOWN","0.0","vicprice='(0.003466-0.003468]'_vicdemand='(-inf-0.335448]'_class=UP"
"vicprice_transfer_class","0.7691458839108364","0.01672056269371384","0.039390826873743255","0.21661884793643787","vicprice='(0.003466-0.003468]'_transfer='(0.414693-0.415132]'_class=DOWN","0.0","vicprice='(0.003466-0.003468]'_transfer='(0.6875-inf)'_class=UP"
"nswprice_vicprice_class","0.7693224453762966","0.015386448907525933","0.028399343582860104","0.12873537850364158","nswprice='(-inf-0.03223]'_vicprice='(-inf-0.002058]'_class=DOWN","0.0","nswprice='(-inf-0.03223]'_vicprice='(0.003466-0.003468]'_class=UP"
"nswprice_vicdemand_class","0.7721032884572943","0.01544206576914591","0.02334782387114831","0.09969101743544471","nswprice='(0.077804-inf)'_vicdemand='(0.422877-0.423006]'_class=UP","0.0","nswprice='(-inf-0.03223]'_vicdemand='(0.422877-0.423006]'_class=UP"
"nswdemand_vicdemand_class","0.7724564113882144","0.016092841903921122","0.017034019507557542","0.07208121827411168","nswdemand='(-inf-0.276331]'_vicdemand='(0.422877-0.423006]'_class=DOWN","2.207018318252042E-5","nswdemand='(0.559135-inf)'_vicdemand='(-inf-0.335448]'_class=DOWN"
"nswdemand_vicprice_class","0.7782387993820347","0.01556477598764068","0.01616851942105191","0.07208121827411168","nswdemand='(-inf-0.276331]'_vicprice='(0.003466-0.003468]'_class=DOWN","2.648421981902452E-4","nswdemand='(0.559135-inf)'_vicprice='(0.003067-0.003466]'_class=DOWN"
"date_day_class","0.8109026704921654","0.01158432386417379","0.005826346978069006","0.018384462591039506","date='(0.471594-0.889275]'_day=5_class=DOWN","1.1035091591260135E-4","date='(0.442967-0.471594]'_day=5_class=DOWN"
"date_period_class","0.8198190244979033","0.016396380489958087","0.009430317929308962","0.03732067976164202","date='(0.026747-0.442967]'_period='(-inf-0.202128]'_class=DOWN","6.17965129110571E-4","date='(0.442967-0.471594]'_period='(0.606383-0.819149]'_class=UP"
"date_transfer_class","0.8338998013683516","0.01985475717543695","0.027986079850250898","0.115140145663209","date='(-inf-0.026747]'_transfer='(0.414693-0.415132]'_class=DOWN","2.207018318252042E-5","date='(0.442967-0.471594]'_transfer='(0.414693-0.415132]'_class=UP"
"date_vicprice_class","0.851864930478923","0.021296623261973048","0.03187430464988471","0.115140145663209","date='(-inf-0.026747]'_vicprice='(0.003466-0.003468]'_class=DOWN","0.0","date='(0.442967-0.471594]'_vicprice='(0.003466-0.003468]'_class=DOWN"
"date_vicdemand_class","0.8574266166409181","0.022563858332655718","0.028659419819882983","0.115140145663209","date='(-inf-0.026747]'_vicdemand='(0.422877-0.423006]'_class=DOWN","0.0","date='(0.442967-0.471594]'_vicdemand='(0.422877-0.423006]'_class=UP"
